Date,Dollar,Deposit,Unemp
2013-01,1.76,7.17,9.7
2013-02,1.77,6.87,9.7
2013-03,1.81,6.55,9.4
2013-04,1.8,6.41,8.7
2013-05,1.82,5.95,8.2
2013-06,1.89,6.14,8.1
2013-07,1.93,6.95,8.6
2013-08,1.95,7.56,9
2013-09,2.02,7.99,9.2
2013-10,1.99,7.78,9.1
2013-11,2.02,7.58,9.3
2013-12,2.06,7.87,9.6
2014-01,2.22,8.2,10.3
2014-02,2.21,9.98,10.2
2014-03,2.22,10.62,9.7
2014-04,2.13,10.43,9
2014-05,2.09,9.96,8.8
2014-06,2.12,9.58,9.1
2014-07,2.12,8.92,9.8
2014-08,2.16,8.53,10.1
2014-09,2.2,8.6,10.5
2014-10,2.26,8.76,10.4
2014-11,2.23,8.91,10.7
2014-12,2.29,9.15,10.9
2015-01,2.33,9.15,11.3
2015-02,2.46,9.03,11.2
2015-03,2.58,9.26,10.6
2015-04,2.65,9.49,9.6
2015-05,2.65,9.62,9.3
2015-06,2.7,9.78,9.6
2015-07,2.69,9.94,9.8
2015-08,2.85,10.11,10.1
2015-09,3,10.34,10.3
2015-10,2.93,10.56,10.5
2015-11,2.87,10.45,10.5
2015-12,2.92,10.7,10.8
2016-01,3.01,10.85,11.1
2016-02,2.94,11.02,10.9
2016-03,2.89,11.01,10.1
2016-04,2.83,10.81,9.3
2016-05,2.93,10.5,9.4
2016-06,2.92,10.25,10.2
2016-07,2.96,9.95,10.7
2016-08,2.96,9.93,11.3
2016-09,2.96,9.88,11.3
2016-10,3.07,9.79,11.8
2016-11,3.27,9.65,12.1
2016-12,3.49,9.57,12.7
2017-01,3.73,9.5,13
2017-02,3.67,9.84,12.6
2017-03,3.67,10.04,11.7
2017-04,3.65,10.68,10.5
2017-05,3.56,11.34,10.2
2017-06,3.52,11.84,10.2
2017-07,3.56,11.89,10.7
2017-08,3.51,11.92,10.6
2017-09,3.47,11.88,10.6
2017-10,3.66,11.94,10.3
2017-11,3.88,12.07,10.3
2017-12,3.85,12.36,10.4
2018-01,3.77,12.31,10.8
2018-02,3.78,12.44,10.64
2018-03,3.88,12.55,10.12
2018-04,4.05,12.63,9.6
2018-05,4.41,12.92,9.7
2018-06,4.63,15.09,10.16
2018-07,4.75,16.37,10.76
2018-08,5.73,17.22,11.12
2018-09,6.37,22.63,11.4
2018-10,5.86,24.11,11.6
2018-11,5.37,23.17,12.3
2018-12,5.31,22.25,13.5
2019-01,5.37,21.15,14.7
2019-02,5.26,20.04,14.7
2019-03,5.44,19.66,14.1
2019-04,5.74,20.54,13
2019-05,6.05,22.3,12.8
2019-06,5.81,22.62,13
2019-07,5.67,21.47,13.9
2019-08,5.62,17.88,14
2019-09,5.71,15.39,13.8
2019-10,5.78,13.51,13.4
2019-11,5.73,11.78,13.3
2019-12,5.84,10.57,13.7
2020-01,5.92,9.64,13.8
2020-02,6.04,9.29,13.6
2020-03,6.31,9.36,13.2
2020-04,6.82,9.19,12.8
2020-05,6.95,7.65,12.9
2020-06,6.81,7.38,13.4
2020-07,6.85,7.34,13.4
2020-08,7.25,8.98,13.2
